Date,Ticker,Company,Close
2025-03-03,META,Meta,655.0499877929688
2025-03-04,META,Meta,640.0
2025-03-05,META,Meta,656.469970703125
2025-03-06,META,Meta,627.9299926757812
2025-03-07,META,Meta,625.6599731445312
2025-03-10,META,Meta,597.989990234375
2025-03-11,META,Meta,605.7100219726562
2025-03-12,META,Meta,619.5599975585938
2025-03-13,META,Meta,590.6400146484375
2025-03-14,META,Meta,607.5999755859375
2025-03-17,META,Meta,604.9000244140625
2025-03-18,META,Meta,582.3599853515625
2025-03-19,META,Meta,584.0599975585938
2025-03-20,META,Meta,586.0
2025-03-21,META,Meta,596.25
2025-03-24,META,Meta,618.8499755859375
2025-03-25,META,Meta,626.3099975585938
2025-03-26,META,Meta,610.97998046875
2025-03-27,META,Meta,602.5800170898438
2025-03-28,META,Meta,576.739990234375
2025-03-31,META,Meta,576.3599853515625
2025-04-01,META,Meta,586.0
2025-04-02,META,Meta,583.9299926757812
2025-04-03,META,Meta,531.6199951171875
2025-04-04,META,Meta,504.7300109863281
2025-04-07,META,Meta,516.25
2025-04-08,META,Meta,510.4500122070313
2025-04-09,META,Meta,585.77001953125
2025-04-10,META,Meta,546.2899780273438
2025-04-11,META,Meta,543.5700073242188
2025-04-14,META,Meta,531.47998046875
2025-04-15,META,Meta,521.52001953125
2025-04-16,META,Meta,502.30999755859375
2025-04-17,META,Meta,501.4800109863281
2025-04-21,META,Meta,484.6600036621094
2025-04-22,META,Meta,500.2799987792969
2025-04-23,META,Meta,520.27001953125
2025-04-24,META,Meta,533.1500244140625
2025-04-25,META,Meta,547.27001953125
2025-04-28,META,Meta,549.739990234375
2025-04-29,META,Meta,554.4400024414062
2025-04-30,META,Meta,549.0
2025-05-01,META,Meta,572.2100219726562
2025-05-02,META,Meta,597.02001953125
2025-05-05,META,Meta,599.27001953125
2025-05-06,META,Meta,587.3099975585938
2025-05-07,META,Meta,596.8099975585938
2025-05-08,META,Meta,598.010009765625
2025-05-09,META,Meta,592.489990234375
2025-05-12,META,Meta,639.4299926757812
2025-05-13,META,Meta,656.030029296875
2025-05-14,META,Meta,659.3599853515625
2025-05-15,META,Meta,643.8800048828125
2025-05-16,META,Meta,640.3400268554688
2025-05-19,META,Meta,640.4299926757812
2025-05-20,META,Meta,637.0999755859375
2025-05-21,META,Meta,635.5
2025-05-22,META,Meta,636.5700073242188
2025-05-23,META,Meta,627.0599975585938
2025-05-27,META,Meta,642.3200073242188
2025-05-28,META,Meta,643.5800170898438
2025-05-29,META,Meta,645.0499877929688
2025-05-30,META,Meta,647.489990234375
2025-06-02,META,Meta,670.9000244140625
2025-06-03,META,Meta,666.8499755859375
2025-06-04,META,Meta,687.9500122070312
2025-06-05,META,Meta,684.6199951171875
2025-06-06,META,Meta,697.7100219726562
2025-06-09,META,Meta,694.0599975585938
2025-06-10,META,Meta,702.4000244140625
2025-06-11,META,Meta,694.1400146484375
2025-06-12,META,Meta,693.3599853515625
2025-06-13,META,Meta,682.8699951171875
2025-06-16,META,Meta,702.1199951171875
2025-06-17,META,Meta,697.22998046875
2025-06-18,META,Meta,695.77001953125
2025-06-20,META,Meta,682.3499755859375
2025-06-23,META,Meta,698.530029296875
2025-06-24,META,Meta,712.2000122070312
2025-06-25,META,Meta,708.6799926757812
2025-06-26,META,Meta,726.0900268554688
2025-06-27,META,Meta,733.6300048828125
2025-06-30,META,Meta,738.0900268554688
2025-07-01,META,Meta,719.219970703125
2025-07-02,META,Meta,713.5700073242188
2025-07-03,META,Meta,719.010009765625
2025-07-07,META,Meta,718.3499755859375
2025-07-08,META,Meta,720.6699829101562
2025-07-09,META,Meta,732.780029296875
2025-07-10,META,Meta,727.239990234375
2025-07-11,META,Meta,717.510009765625
2025-07-14,META,Meta,720.9199829101562
2025-07-15,META,Meta,710.3900146484375
2025-07-16,META,Meta,702.9099731445312
2025-07-17,META,Meta,701.4099731445312
2025-07-18,META,Meta,704.280029296875
2025-07-21,META,Meta,712.969970703125
2025-07-22,META,Meta,704.8099975585938
2025-07-23,META,Meta,713.5800170898438
2025-07-24,META,Meta,714.7999877929688
2025-07-25,META,Meta,712.6799926757812
2025-07-28,META,Meta,717.6300048828125
2025-07-29,META,Meta,700.0
2025-07-30,META,Meta,695.2100219726562
2025-07-31,META,Meta,773.4400024414062
2025-08-01,META,Meta,750.010009765625
2025-08-04,META,Meta,776.3699951171875
2025-08-05,META,Meta,763.4600219726562
2025-08-06,META,Meta,771.989990234375
2025-08-07,META,Meta,761.8300170898438
2025-08-08,META,Meta,769.2999877929688
2025-08-11,META,Meta,765.8699951171875
2025-08-12,META,Meta,790.0
2025-08-13,META,Meta,780.0800170898438
2025-08-14,META,Meta,782.1300048828125
2025-08-15,META,Meta,785.22998046875
2025-08-18,META,Meta,767.3699951171875
2025-08-19,META,Meta,751.47998046875
2025-08-20,META,Meta,747.719970703125
2025-08-21,META,Meta,739.0999755859375
2025-08-22,META,Meta,754.7899780273438
2025-08-25,META,Meta,753.2999877929688
2025-08-26,META,Meta,754.0999755859375
2025-08-27,META,Meta,747.3800048828125
2025-08-28,META,Meta,751.1099853515625
2025-08-29,META,Meta,738.7000122070312
2025-09-02,META,Meta,735.1099853515625
2025-09-03,META,Meta,737.0499877929688
2025-09-04,META,Meta,748.6500244140625
2025-09-05,META,Meta,752.4500122070312
2025-09-08,META,Meta,752.2999877929688
2025-09-09,META,Meta,765.7000122070312
2025-09-10,META,Meta,751.97998046875
2025-09-11,META,Meta,750.9000244140625
2025-09-12,META,Meta,755.5900268554688
2025-09-15,META,Meta,764.7000122070312
2025-09-16,META,Meta,779.0
2025-09-17,META,Meta,775.719970703125
2025-09-18,META,Meta,780.25
2025-09-19,META,Meta,778.3800048828125
2025-09-22,META,Meta,765.1599731445312
2025-09-23,META,Meta,755.4000244140625
2025-09-24,META,Meta,760.6599731445312
2025-09-25,META,Meta,748.9099731445312
2025-09-26,META,Meta,743.75
2025-09-29,META,Meta,743.4000244140625
2025-09-30,META,Meta,734.3800048828125
2025-10-01,META,Meta,717.3400268554688
2025-10-02,META,Meta,727.0499877929688
2025-10-03,META,Meta,710.5599975585938
2025-10-06,META,Meta,715.6599731445312
2025-10-07,META,Meta,713.0800170898438
2025-10-08,META,Meta,717.8400268554688
2025-10-09,META,Meta,733.510009765625
2025-10-10,META,Meta,705.2999877929688
2025-10-13,META,Meta,715.7000122070312
2025-10-14,META,Meta,708.6500244140625
2025-10-15,META,Meta,717.5499877929688
2025-10-16,META,Meta,712.0700073242188
2025-10-17,META,Meta,716.9199829101562
2025-10-20,META,Meta,732.1699829101562
2025-10-21,META,Meta,733.27001953125
2025-10-22,META,Meta,733.4099731445312
2025-10-23,META,Meta,734.0
2025-10-24,META,Meta,738.3599853515625
2025-10-27,META,Meta,750.8200073242188
2025-10-28,META,Meta,751.4400024414062
2025-10-29,META,Meta,751.6699829101562
2025-10-30,META,Meta,666.469970703125
2025-10-31,META,Meta,648.3499755859375
2025-11-03,META,Meta,637.7100219726562
2025-11-04,META,Meta,627.3200073242188
2025-11-05,META,Meta,635.9500122070312
2025-11-06,META,Meta,618.9400024414062
2025-11-07,META,Meta,621.7100219726562
2025-11-10,META,Meta,631.760009765625
2025-11-11,META,Meta,627.0800170898438
2025-11-12,META,Meta,609.010009765625
2025-11-13,META,Meta,609.8900146484375
2025-11-14,META,Meta,609.4600219726562
2025-11-17,META,Meta,602.010009765625
2025-11-18,META,Meta,597.6900024414062
2025-11-19,META,Meta,590.3200073242188
2025-11-20,META,Meta,589.1500244140625
2025-11-21,META,Meta,594.25
2025-11-24,META,Meta,613.0499877929688
2025-11-25,META,Meta,636.219970703125
2025-11-26,META,Meta,633.6099853515625
2025-11-28,META,Meta,647.9500122070312
2025-12-01,META,Meta,640.8699951171875
2025-12-02,META,Meta,647.0999755859375
2025-12-03,META,Meta,639.5999755859375
2025-12-04,META,Meta,661.530029296875
2025-12-05,META,Meta,673.4199829101562
2025-12-08,META,Meta,666.7999877929688
2025-12-09,META,Meta,656.9600219726562
2025-12-10,META,Meta,650.1300048828125
2025-12-11,META,Meta,652.7100219726562
2025-12-12,META,Meta,644.22998046875
2025-12-15,META,Meta,647.510009765625
2025-12-16,META,Meta,657.1500244140625
2025-12-17,META,Meta,649.5
2025-12-18,META,Meta,664.4500122070312
2025-12-19,META,Meta,658.77001953125
2025-12-22,META,Meta,661.5
2025-12-23,META,Meta,664.9400024414062
2025-12-24,META,Meta,667.5499877929688
2025-12-26,META,Meta,663.2899780273438
2025-12-29,META,Meta,658.6900024414062
2025-12-30,META,Meta,665.9500122070312
2025-12-31,META,Meta,660.0900268554688
2026-01-02,META,Meta,650.4099731445312
2026-01-05,META,Meta,658.7899780273438
2026-01-06,META,Meta,660.6199951171875
2026-01-07,META,Meta,648.6900024414062
2026-01-08,META,Meta,646.0599975585938
2026-01-09,META,Meta,653.0599975585938
2026-01-12,META,Meta,641.969970703125
2026-01-13,META,Meta,631.0900268554688
2026-01-14,META,Meta,615.52001953125
2026-01-15,META,Meta,620.7999877929688
2026-01-16,META,Meta,620.25
2026-01-20,META,Meta,604.1199951171875
2026-01-21,META,Meta,612.9600219726562
2026-01-22,META,Meta,647.6300048828125
2026-01-23,META,Meta,658.760009765625
2026-01-26,META,Meta,672.3599853515625
2026-01-27,META,Meta,672.969970703125
2026-01-28,META,Meta,668.72998046875
2026-01-29,META,Meta,738.3099975585938
2026-01-30,META,Meta,716.5
2026-02-02,META,Meta,706.4099731445312
2026-02-03,META,Meta,691.7000122070312
2026-02-04,META,Meta,668.989990234375
2026-02-05,META,Meta,670.2100219726562
2026-02-06,META,Meta,661.4600219726562
2026-02-09,META,Meta,677.219970703125
2026-02-10,META,Meta,670.719970703125
2026-02-11,META,Meta,668.6900024414062
2026-02-12,META,Meta,649.8099975585938
2026-02-13,META,Meta,639.77001953125
2026-02-17,META,Meta,639.2899780273438
2026-02-18,META,Meta,643.219970703125
2026-02-19,META,Meta,644.780029296875
2026-02-20,META,Meta,655.6599731445312
2026-02-23,META,Meta,637.25
2026-02-24,META,Meta,639.2999877929688
2026-02-25,META,Meta,653.6900024414062
2026-02-26,META,Meta,657.010009765625
2026-02-27,META,Meta,648.1799926757812
