Date,Ticker,Company,Close
2025-05-01,AMD,AMD,96.6500015258789
2025-05-02,AMD,AMD,98.8000030517578
2025-05-05,AMD,AMD,100.58999633789062
2025-05-06,AMD,AMD,98.62000274658205
2025-05-07,AMD,AMD,100.36000061035156
2025-05-08,AMD,AMD,101.6999969482422
2025-05-09,AMD,AMD,102.83999633789062
2025-05-12,AMD,AMD,108.12000274658205
2025-05-13,AMD,AMD,112.45999908447266
2025-05-14,AMD,AMD,117.72000122070312
2025-05-15,AMD,AMD,114.98999786376952
2025-05-16,AMD,AMD,117.16999816894533
2025-05-19,AMD,AMD,114.73999786376952
2025-05-20,AMD,AMD,113.51000213623048
2025-05-21,AMD,AMD,112.05999755859376
2025-05-22,AMD,AMD,110.70999908447266
2025-05-23,AMD,AMD,110.30999755859376
2025-05-27,AMD,AMD,114.55999755859376
2025-05-28,AMD,AMD,112.86000061035156
2025-05-29,AMD,AMD,113.02999877929688
2025-05-30,AMD,AMD,110.7300033569336
2025-06-02,AMD,AMD,114.62999725341795
2025-06-03,AMD,AMD,117.30999755859376
2025-06-04,AMD,AMD,118.58000183105467
2025-06-05,AMD,AMD,115.69000244140624
2025-06-06,AMD,AMD,116.19000244140624
2025-06-09,AMD,AMD,121.7300033569336
2025-06-10,AMD,AMD,123.23999786376952
2025-06-11,AMD,AMD,121.13999938964844
2025-06-12,AMD,AMD,118.5
2025-06-13,AMD,AMD,116.16000366210938
2025-06-16,AMD,AMD,126.38999938964844
2025-06-17,AMD,AMD,127.0999984741211
2025-06-18,AMD,AMD,126.79000091552734
2025-06-20,AMD,AMD,128.24000549316406
2025-06-23,AMD,AMD,129.5800018310547
2025-06-24,AMD,AMD,138.42999267578125
2025-06-25,AMD,AMD,143.39999389648438
2025-06-26,AMD,AMD,143.67999267578125
2025-06-27,AMD,AMD,143.80999755859375
2025-06-30,AMD,AMD,141.89999389648438
2025-07-01,AMD,AMD,136.11000061035156
2025-07-02,AMD,AMD,138.52000427246094
2025-07-03,AMD,AMD,137.91000366210938
2025-07-07,AMD,AMD,134.8000030517578
2025-07-08,AMD,AMD,137.82000732421875
2025-07-09,AMD,AMD,138.41000366210938
2025-07-10,AMD,AMD,144.16000366210938
2025-07-11,AMD,AMD,146.4199981689453
2025-07-14,AMD,AMD,146.24000549316406
2025-07-15,AMD,AMD,155.61000061035156
2025-07-16,AMD,AMD,160.0800018310547
2025-07-17,AMD,AMD,160.41000366210938
2025-07-18,AMD,AMD,156.99000549316406
2025-07-21,AMD,AMD,157.0
2025-07-22,AMD,AMD,154.72000122070312
2025-07-23,AMD,AMD,158.64999389648438
2025-07-24,AMD,AMD,162.1199951171875
2025-07-25,AMD,AMD,166.47000122070312
2025-07-28,AMD,AMD,173.66000366210938
2025-07-29,AMD,AMD,177.44000244140625
2025-07-30,AMD,AMD,179.50999450683594
2025-07-31,AMD,AMD,176.30999755859375
2025-08-01,AMD,AMD,171.6999969482422
2025-08-04,AMD,AMD,176.77999877929688
2025-08-05,AMD,AMD,174.30999755859375
2025-08-06,AMD,AMD,163.1199951171875
2025-08-07,AMD,AMD,172.39999389648438
2025-08-08,AMD,AMD,172.75999450683594
2025-08-11,AMD,AMD,172.27999877929688
2025-08-12,AMD,AMD,174.9499969482422
2025-08-13,AMD,AMD,184.4199981689453
2025-08-14,AMD,AMD,180.9499969482422
2025-08-15,AMD,AMD,177.50999450683594
2025-08-18,AMD,AMD,176.13999938964844
2025-08-19,AMD,AMD,166.5500030517578
2025-08-20,AMD,AMD,165.1999969482422
2025-08-21,AMD,AMD,163.7100067138672
2025-08-22,AMD,AMD,167.75999450683594
2025-08-25,AMD,AMD,163.36000061035156
2025-08-26,AMD,AMD,166.6199951171875
2025-08-27,AMD,AMD,167.1300048828125
2025-08-28,AMD,AMD,168.5800018310547
2025-08-29,AMD,AMD,162.6300048828125
2025-09-02,AMD,AMD,162.32000732421875
2025-09-03,AMD,AMD,162.1300048828125
2025-09-04,AMD,AMD,161.7899932861328
2025-09-05,AMD,AMD,151.13999938964844
2025-09-08,AMD,AMD,151.41000366210938
2025-09-09,AMD,AMD,155.82000732421875
2025-09-10,AMD,AMD,159.5399932861328
2025-09-11,AMD,AMD,155.6699981689453
2025-09-12,AMD,AMD,158.57000732421875
2025-09-15,AMD,AMD,161.16000366210938
2025-09-16,AMD,AMD,160.4600067138672
2025-09-17,AMD,AMD,159.16000366210938
2025-09-18,AMD,AMD,157.9199981689453
2025-09-19,AMD,AMD,157.38999938964844
2025-09-22,AMD,AMD,159.7899932861328
2025-09-23,AMD,AMD,160.89999389648438
2025-09-24,AMD,AMD,160.8800048828125
